,intro times,intro freqs,intro lengths,post locs,,,,,,,,,,,,,,
0,0,27,11,"[97, 10, 12][117, 10, 8][137, 10, 9][160, 10, 9][180, 10, 10][200, 10, 10][220, 10, 12][240, 10, 12][262, 10, 9][282, 10, 12][27, 13, 7][328, 13, 8][47, 15, 7][100, 20, 6][229, 20, 12][275, 22, 7][13, 25, 7][59, 25, 6][172, 28, 9][137, 30, 12][230, 30, 10][24, 39, 9][44, 45, 11][82, 46, 9][13, 49, 12][122, 50, 6][44, 57, 12][13, 59, 12][176, 61, 12][66, 62, 12][86, 62, 12][112, 63, 12][143, 63, 12][204, 63, 12][33, 67, 8]",,,,,,,,,,,,,,
1,2,34,12,"[35, 10, 6][21, 42, 12][44, 43, 12][65, 44, 8][85, 44, 9][105, 44, 9][149, 44, 7][169, 44, 8][190, 44, 12][13, 52, 10][33, 53, 10][53, 54, 12][99, 61, 12][194, 61, 6][33, 64, 12][53, 64, 12][317, 66, 6][337, 66, 6]",,,,,,,,,,,,,,
2,3.6,16,12,"[30, 69, 6]",,,,,,,,,,,,,,
3,5.9,20,14,"[13, 10, 7][33, 10, 6][112, 10, 6][53, 11, 6][77, 17, 9][185, 17, 7][13, 20, 12][33, 20, 6][180, 27, 6][200, 28, 10][610, 28, 6][220, 29, 6][285, 29, 6][325, 29, 6][499, 29, 6][13, 30, 9][33, 34, 12][253, 41, 7][273, 41, 8][307, 41, 9][328, 41, 8][493, 41, 6][348, 42, 7][378, 42, 7][513, 42, 6][599, 42, 6][461, 43, 6][30, 44, 6][15, 55, 12][38, 59, 12][15, 65, 12]",,,,,,,,,,,,,,
4,9.5,48,15,"[13, 10, 11][40, 10, 12][202, 10, 6][17, 36, 12][42, 39, 12][13, 46, 8][97, 46, 6][33, 49, 7][173, 52, 8][196, 52, 8][245, 52, 7][265, 53, 6][135, 54, 7][13, 59, 12][216, 59, 12][86, 61, 8][36, 62, 8][16, 69, 12][209, 69, 12]",,,,,,,,,,,,,,
5,11.3,280,15,"[161, 10, 12][182, 10, 6][212, 10, 6][277, 10, 6][384, 12, 6][334, 14, 7][23, 17, 6][23, 36, 7][27, 56, 11][34, 66, 7]",,,,,,,,,,,,,,
6,13.5,24,11,"[17, 10, 9][126, 24, 12][123, 34, 12][210, 42, 12][234, 43, 7][254, 43, 11][123, 44, 10][280, 45, 6][143, 47, 8][175, 49, 12][196, 52, 7][216, 53, 11][315, 53, 11][254, 55, 12][274, 55, 12][37, 56, 6][123, 58, 6][170, 59, 7][16, 61, 12][259, 65, 9][133, 69, 7][174, 69, 12]",,,,,,,,,,,,,,
7,16.4,16,15,"[13, 10, 12][33, 11, 12][13, 20, 8][63, 66, 7]",,,,,,,,,,,,,,
8,18.4,42,15,"[25, 10, 8][45, 11, 12][83, 17, 12][103, 17, 12][134, 17, 12][82, 27, 12][102, 27, 11][185, 31, 12][132, 32, 12][207, 32, 8][153, 33, 11][86, 37, 9][179, 41, 12][125, 42, 12][145, 44, 10][225, 46, 8][199, 47, 7][177, 51, 7][130, 54, 9]",,,,,,,,,,,,,,
9,24.4,255,15,"[248, 10, 12][350, 16, 12][270, 17, 6][351, 26, 6][267, 27, 6][287, 28, 6][307, 28, 11][407, 34, 7][222, 41, 6]",,,,,,,,,,,,,,
10,28.9,58,15,"[51, 10, 12][230, 17, 12][183, 18, 12][58, 20, 7][156, 20, 12][220, 27, 12][140, 30, 9][160, 30, 12][188, 33, 12][241, 34, 9][208, 37, 6][261, 37, 12][114, 40, 12][152, 40, 12][203, 47, 8][113, 50, 8][87, 52, 12]",,,,,,,,,,,,,,
11,33.4,101,15,"[97, 10, 12][176, 17, 12][196, 20, 10][216, 21, 7][124, 23, 6][153, 23, 8][262, 23, 10][236, 24, 12][282, 26, 11][173, 27, 12][339, 29, 6][103, 32, 6][229, 34, 12][261, 38, 6][282, 38, 11][328, 39, 7][102, 42, 6][172, 44, 12][232, 44, 12][131, 45, 12][268, 49, 6][176, 54, 8][238, 54, 8][132, 55, 10]",,,,,,,,,,,,,,
12,38.9,210,15,"[204, 10, 12][206, 20, 12][226, 20, 10][281, 20, 12][301, 21, 6][178, 27, 12][150, 28, 12][209, 30, 11][272, 30, 12][229, 32, 10][336, 35, 11][170, 37, 7]",,,,,,,,,,,,,,
13,45.2,83,15,"[73, 10, 12][155, 16, 12][175, 17, 12][198, 18, 10][114, 19, 12][77, 20, 12][134, 20, 8][154, 26, 12][63, 30, 12][116, 30, 12][147, 36, 6][222, 36, 6][167, 38, 6][188, 39, 12][68, 40, 6][152, 48, 7][113, 49, 7][190, 49, 6][228, 50, 6][149, 58, 6][110, 59, 8]",,,,,,,,,,,,,,
14,49.8,124,15,"[122, 10, 12][198, 18, 12][218, 19, 12][240, 19, 9][260, 19, 12][122, 20, 9][284, 20, 9][142, 24, 8][166, 26, 12][191, 28, 6][211, 29, 12][256, 29, 12][304, 29, 12][252, 39, 9][352, 45, 6][130, 46, 6][197, 46, 12][172, 47, 11][250, 51, 6][310, 51, 6][359, 55, 6][203, 56, 9][166, 59, 9]",,,,,,,,,,,,,,
15,56.3,275,15,"[274, 10, 12][412, 19, 8][336, 25, 12][335, 35, 7][279, 41, 7]",,,,,,,,,,,,,,
16,60.4,56,15,"[53, 10, 12][171, 17, 12][207, 17, 6][227, 18, 12][247, 20, 12][151, 23, 12][171, 27, 12][221, 28, 12][191, 34, 7][242, 36, 6][154, 37, 12][262, 37, 12][211, 38, 6][122, 40, 12][51, 44, 6][102, 44, 10][151, 47, 8][198, 48, 7][122, 51, 6][53, 54, 6][85, 54, 7][19, 66, 9]",,,,,,,,,,,,,,
17,64.5,99,15,"[97, 10, 12][174, 16, 12][154, 18, 11][99, 20, 9][129, 22, 8][198, 23, 11][219, 24, 7][243, 24, 12][263, 25, 6][283, 25, 12][174, 26, 12][329, 30, 12][140, 32, 6][230, 34, 12][283, 35, 12][253, 40, 10][170, 43, 12][227, 44, 12][137, 45, 12][275, 51, 6][101, 52, 6][172, 53, 10][235, 54, 6][133, 55, 8]",,,,,,,,,,,,,,
18,70.9,214,15,"[209, 10, 12][282, 15, 12][230, 16, 12][210, 20, 12][166, 23, 12][189, 23, 12][270, 25, 11][290, 25, 12][230, 26, 11][388, 29, 6][340, 30, 11][464, 41, 6]",,,,,,,,,,,,,,
19,75.7,79,15,"[73, 10, 12][160, 16, 12][93, 17, 6][187, 17, 12][113, 20, 12][150, 26, 12][74, 27, 12][111, 35, 11][149, 36, 11][67, 37, 6][231, 37, 12][188, 39, 12][235, 47, 12][188, 49, 12][115, 50, 6][153, 50, 12][277, 54, 8][110, 60, 7]",,,,,,,,,,,,,,
