,99;0.0,34;2.0,16;3.6,20;5.9,48;9.5,280;11.3,125;14.1,16;16.4,42;18.4,255;24.4,58;28.9,101;33.4,210;38.9,83;45.2,124;49.8,275;56.3,56;60.4,99;64.5,214;70.9,79;75.7,126;82.0,43;86.5,252;92.7,58;98.0,126;102.9,208;107.7,79;112.4,100;117.3,271;121.9,59;125.9,334;130.9,127;135.3
99;0.0,0.0,0.54,0.06,0.63,0.49,0.37,0.66,0.17,0.34,0.2,0.4,0.46,0.4,0.34,0.34,0.09,0.6,0.51,0.37,0.37,0.51,0.43,0.2,0.46,0.54,0.37,0.4,0.63,0.09,0.43,0.03,0.46
34;2.0,0.54,0.0,0.06,0.29,0.79,0.33,0.27,0.17,0.47,0.0,0.33,0.17,0.06,0.38,0.13,0.0,0.55,0.17,0.0,0.39,0.25,0.47,0.0,0.37,0.16,0.11,0.46,0.05,0.0,0.39,0.0,0.14
16;3.6,0.06,0.06,0.0,0.03,0.11,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20;5.9,0.63,0.29,0.03,0.0,0.39,0.35,0.68,0.19,0.32,0.1,0.29,0.48,0.39,0.29,0.45,0.16,0.39,0.35,0.39,0.23,0.45,0.23,0.29,0.29,0.52,0.52,0.26,0.39,0.13,0.29,0.0,0.68
48;9.5,0.49,0.79,0.11,0.39,0.0,0.37,0.45,0.16,0.53,0.0,0.21,0.33,0.11,0.19,0.35,0.05,0.45,0.33,0.16,0.26,0.33,0.47,0.05,0.26,0.32,0.11,0.29,0.3,0.05,0.26,0.0,0.28
280;11.3,0.37,0.33,0.2,0.35,0.37,0.0,0.18,0.3,0.05,0.1,0.12,0.17,0.33,0.19,0.13,0.2,0.23,0.17,0.42,0.11,0.08,0.05,0.17,0.16,0.12,0.25,0.08,0.2,0.2,0.17,0.1,0.07
125;14.1,0.66,0.27,0.0,0.68,0.45,0.18,0.0,0.0,0.82,0.41,0.73,0.92,0.77,0.68,1.22,0.05,0.86,1.0,0.64,0.36,1.42,0.77,0.32,0.77,1.24,0.86,0.54,1.0,0.05,0.73,0.0,1.24
16;16.4,0.17,0.17,0.0,0.19,0.16,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42;18.4,0.34,0.47,0.0,0.32,0.53,0.05,0.82,0.21,0.0,0.05,0.68,0.71,0.26,1.0,0.61,0.0,0.64,0.88,0.16,1.05,0.58,1.32,0.05,0.63,0.52,0.26,0.75,0.65,0.05,0.74,0.0,0.59
255;24.4,0.2,0.0,0.0,0.1,0.0,0.1,0.41,0.0,0.05,0.0,0.06,0.38,0.67,0.05,0.3,0.22,0.14,0.33,0.42,0.11,0.42,0.11,1.0,0.11,0.4,0.56,0.04,0.35,0.44,0.17,0.11,0.38
58;28.9,0.4,0.33,0.0,0.29,0.21,0.12,0.73,0.0,0.68,0.06,0.0,0.62,0.76,0.67,0.61,0.0,1.18,0.75,0.53,0.67,0.79,0.58,0.18,1.37,0.68,0.65,0.83,0.65,0.12,1.39,0.0,0.69
101;33.4,0.46,0.17,0.0,0.48,0.33,0.17,0.92,0.0,0.71,0.38,0.62,0.0,0.67,0.62,0.75,0.21,0.71,1.38,0.83,0.62,1.0,0.71,0.42,0.67,1.12,0.67,0.83,1.21,0.33,0.71,0.0,0.9
210;38.9,0.4,0.06,0.0,0.39,0.11,0.33,0.77,0.0,0.26,0.67,0.76,0.67,0.0,0.43,0.7,0.25,0.55,0.67,1.08,0.22,0.71,0.42,0.42,0.84,0.72,1.19,0.38,0.85,0.25,0.89,0.0,0.59
83;45.2,0.34,0.38,0.0,0.29,0.19,0.19,0.68,0.0,1.0,0.05,0.67,0.62,0.43,0.0,0.7,0.0,0.82,0.62,0.33,1.24,0.79,0.76,0.05,1.0,0.8,0.43,1.29,0.9,0.1,0.9,0.0,0.76
124;49.8,0.34,0.13,0.0,0.45,0.35,0.13,1.22,0.0,0.61,0.3,0.61,0.75,0.7,0.7,0.0,0.09,0.87,0.88,0.7,0.35,1.46,0.65,0.48,0.7,1.36,0.7,0.75,0.74,0.13,0.61,0.0,1.24
275;56.3,0.09,0.0,0.0,0.16,0.05,0.2,0.05,0.0,0.0,0.22,0.0,0.21,0.25,0.0,0.09,0.0,0.0,0.12,0.25,0.06,0.04,0.0,0.08,0.0,0.12,0.19,0.04,0.15,1.0,0.0,0.0,0.07
56;60.4,0.6,0.55,0.05,0.39,0.45,0.23,0.86,0.05,0.64,0.14,1.18,0.71,0.55,0.82,0.87,0.0,0.0,0.67,0.45,0.68,0.88,0.68,0.14,1.32,0.8,0.59,0.71,0.73,0.09,1.23,0.0,0.79
99;64.5,0.51,0.17,0.0,0.35,0.33,0.17,1.0,0.0,0.88,0.33,0.75,1.38,0.67,0.62,0.88,0.12,0.67,0.0,0.71,0.71,0.96,0.75,0.42,0.75,1.08,0.67,0.83,1.21,0.21,0.71,0.0,1.07
214;70.9,0.37,0.0,0.0,0.39,0.16,0.42,0.64,0.0,0.16,0.42,0.53,0.83,1.08,0.33,0.7,0.25,0.45,0.71,0.0,0.11,0.88,0.26,0.42,0.58,0.76,1.0,0.25,0.6,0.25,0.44,0.08,0.55
79;75.7,0.37,0.39,0.0,0.23,0.26,0.11,0.36,0.0,1.05,0.11,0.67,0.62,0.22,1.24,0.35,0.06,0.68,0.71,0.11,0.0,0.42,0.74,0.06,0.95,0.52,0.33,1.25,0.7,0.17,0.89,0.0,0.38
126;82.0,0.51,0.25,0.0,0.45,0.33,0.08,1.42,0.0,0.58,0.42,0.79,1.0,0.71,0.79,1.46,0.04,0.88,0.96,0.88,0.42,0.0,0.58,0.5,0.88,1.52,0.79,0.58,0.92,0.08,0.92,0.0,1.38
43;86.5,0.43,0.47,0.0,0.23,0.47,0.05,0.77,0.05,1.32,0.11,0.58,0.71,0.42,0.76,0.65,0.0,0.68,0.75,0.26,0.74,0.58,0.0,0.11,0.58,0.52,0.37,0.75,0.7,0.05,0.63,0.0,0.69
252;92.7,0.2,0.0,0.0,0.29,0.05,0.17,0.32,0.0,0.05,1.0,0.18,0.42,0.42,0.05,0.48,0.08,0.14,0.42,0.42,0.06,0.5,0.11,0.0,0.11,0.48,0.38,0.04,0.2,0.25,0.28,0.08,0.48
58;98.0,0.46,0.37,0.0,0.29,0.26,0.16,0.77,0.0,0.63,0.11,1.37,0.67,0.84,1.0,0.7,0.0,1.32,0.75,0.58,0.95,0.88,0.58,0.11,0.0,0.72,0.74,0.75,0.7,0.16,1.53,0.0,0.76
126;102.9,0.54,0.16,0.0,0.52,0.32,0.12,1.24,0.0,0.52,0.4,0.68,1.12,0.72,0.8,1.36,0.12,0.8,1.08,0.76,0.52,1.52,0.52,0.48,0.72,0.0,0.76,0.76,0.84,0.16,0.72,0.0,1.38
208;107.7,0.37,0.11,0.0,0.52,0.11,0.25,0.86,0.0,0.26,0.56,0.65,0.67,1.19,0.43,0.7,0.19,0.59,0.67,1.0,0.33,0.79,0.37,0.38,0.74,0.76,0.0,0.38,0.8,0.19,0.83,0.06,0.72
