Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID
7	Spectrogram 1	1	29.436416605	29.783237414	1638.500	2215.400	A
17	Spectrogram 1	1	71.250000386	71.828035068	1615.400	2192.300	A
24	Spectrogram 1	1	102.420520672	102.882948418	1615.400	2100.000	A
30	Spectrogram 1	1	127.926301074	128.330925352	1500.000	2030.800	A
40	Spectrogram 1	1	165.758671072	166.177746216	1661.500	2169.200	A
49	Spectrogram 1	1	201.119942515	201.697977197	1638.500	2076.900	A
55	Spectrogram 1	1	223.099711356	223.692196905	1569.200	2053.800	A
64	Spectrogram 1	1	259.053468637	259.515896383	1592.300	2030.800	A
76	Spectrogram 1	1	305.975433749	306.567919298	1569.200	2076.900	A
86	Spectrogram 1	1	347.030347099	347.550578313	1500.000	2053.800	A
96	Spectrogram 1	1	398.908959927	399.414740274	1661.500	2123.100	A
105	Spectrogram 1	1	437.608381948	438.157514896	1500.000	2123.100	A
116	Spectrogram 1	1	484.284682609	484.891619025	1592.300	2215.400	A
120	Spectrogram 1	1	503.504335815	504.226879168	1500.000	2215.400	A
125	Spectrogram 1	1	528.880058414	529.530347432	1523.100	2215.400	A
133	Spectrogram 1	1	567.073700088	567.536127834	1569.200	2146.200	A
5	Spectrogram 1	1	19.725433806	20.072254615	1800.000	2330.800	B
15	Spectrogram 1	1	62.897399230	63.302023507	1800.000	2215.400	B
26	Spectrogram 1	1	110.195087174	110.758670989	1707.700	2192.300	B
32	Spectrogram 1	1	135.426301074	135.917630554	1592.300	2400.000	B
42	Spectrogram 1	1	173.851156360	174.458092776	1684.600	2215.400	B
52	Spectrogram 1	1	211.640173756	212.102601502	1546.200	2169.200	B
58	Spectrogram 1	1	235.758670922	236.264451268	1661.500	2169.200	B
66	Spectrogram 1	1	265.888728753	266.336705631	1638.500	2284.600	B
72	Spectrogram 1	1	289.862717247	290.484104531	1592.300	2192.300	B
84	Spectrogram 1	1	338.721098545	339.284682360	1592.300	2238.500	B
92	Spectrogram 1	1	378.692196866	379.226878947	1730.800	2330.800	B
98	Spectrogram 1	1	407.044798077	407.550578424	1661.500	2169.200	B
107	Spectrogram 1	1	445.382948449	445.845376195	1730.800	2307.700	B
113	Spectrogram 1	1	471.163295298	471.871387783	1592.300	2307.700	B
122	Spectrogram 1	1	511.770231797	512.463873415	1638.500	2353.800	B
130	Spectrogram 1	1	554.241330118	554.703757864	1707.700	2215.400	B
138	Spectrogram 1	1	587.492774999	587.926301011	1707.700	2330.800	B
12	Spectrogram 1	1	51.553468566	52.030347179	1800.000	2261.500	C
22	Spectrogram 1	1	95.209538013	95.700867493	1753.800	2215.400	C
28	Spectrogram 1	1	119.934971567	120.339595844	1800.000	2330.800	C
37	Spectrogram 1	1	154.371387807	154.819364686	1776.900	2307.700	C
47	Spectrogram 1	1	193.070809567	193.562139047	1730.800	2353.800	C
54	Spectrogram 1	1	219.111272022	219.718208438	1776.900	2446.200	C
62	Spectrogram 1	1	251.828035111	252.333815458	1615.400	2215.400	C
74	Spectrogram 1	1	298.706647883	299.241329964	1800.000	2284.600	C
82	Spectrogram 1	1	330.700867303	331.293352852	1800.000	2330.800	C
95	Spectrogram 1	1	391.770231576	392.434971460	1753.800	2376.900	C
104	Spectrogram 1	1	433.013006225	433.576590040	1730.800	2307.700	C
115	Spectrogram 1	1	479.501445614	480.195087233	1915.400	2353.800	C
124	Spectrogram 1	1	523.865607547	524.443642229	1776.900	2400.000	C
102	Spectrogram 1	1	425.382948394	425.932081342	1892.300	2469.200	D
110	Spectrogram 1	1	459.689306858	460.166185471	1892.300	2515.400	D
135	Spectrogram 1	1	576.018786532	576.437861677	1776.900	2423.100	D
3	Spectrogram 1	1	13.078034822	13.453757366	1961.500	2330.800	Dv
10	Spectrogram 1	1	43.721098624	44.125722901	2030.800	2469.200	Dv2
20	Spectrogram 1	1	88.576590009	88.880058217	1984.600	2400.000	Dv2
35	Spectrogram 1	1	147.810694166	148.056358905	2030.800	2400.000	Dv2
45	Spectrogram 1	1	185.903179481	186.307803759	2076.900	2492.300	Dv2
60	Spectrogram 1	1	244.559248956	244.891618898	2030.800	2353.800	Dv2
69	Spectrogram 1	1	278.692196988	279.226879069	1984.600	2607.700	Dv2
80	Spectrogram 1	1	323.460982910	323.995664991	1984.600	2515.400	Dv2
90	Spectrogram 1	1	368.937861606	369.472543687	1984.600	2353.800	Dv2
128	Spectrogram 1	1	546.264451505	546.697977517	2030.800	2492.300	Dv2
1	Spectrogram 1	1	4.140173410	4.537572254	2146.200	2769.200	E
9	Spectrogram 1	1	37.767341461	38.171965738	2215.400	2746.200	E
18	Spectrogram 1	1	77.030347234	77.449422379	2146.200	2700.000	E
34	Spectrogram 1	1	143.013006304	143.475434050	2146.200	2607.700	E
44	Spectrogram 1	1	181.365607227	181.885838441	2100.000	2746.200	E
59	Spectrogram 1	1	240.845376124	241.250000401	2100.000	2700.000	E
70	Spectrogram 1	1	282.651734561	283.258670977	2076.900	2630.800	E
79	Spectrogram 1	1	317.998555164	318.923410656	2146.200	2815.400	E
88	Spectrogram 1	1	360.382948283	361.033237301	2053.800	2723.100	E
100	Spectrogram 1	1	415.845376140	416.380058220	2100.000	2746.200	E
109	Spectrogram 1	1	455.050578507	455.556358854	2007.700	2746.200	E
119	Spectrogram 1	1	498.013006336	498.562139284	2123.100	2723.100	E
132	Spectrogram 1	1	562.839596042	563.374278123	2053.800	2700.000	E
6	Spectrogram 1	1	23.728323980	24.096821089	2284.600	2884.600	F
14	Spectrogram 1	1	59.472543738	60.108381888	2284.600	2884.600	F
25	Spectrogram 1	1	106.250000469	106.741329948	2284.600	2838.500	F
31	Spectrogram 1	1	131.640173907	132.276012057	2353.800	2792.300	F
41	Spectrogram 1	1	169.010116159	169.617052575	2307.700	2815.400	F
56	Spectrogram 1	1	227.998555287	228.432081298	2353.800	2792.300	F
67	Spectrogram 1	1	271.091040919	271.784682538	2330.800	2930.800	F
77	Spectrogram 1	1	309.978323923	310.527456871	2215.400	2884.600	F
85	Spectrogram 1	1	342.969653458	343.677745943	2284.600	2769.200	F
97	Spectrogram 1	1	403.302023511	403.923410794	2238.500	2838.500	F
117	Spectrogram 1	1	489.067919603	489.617052551	2307.700	2815.400	F
126	Spectrogram 1	1	535.007226044	535.570809859	2284.600	2815.400	F
139	Spectrogram 1	1	592.232659392	592.882948410	2307.700	2861.500	F
11	Spectrogram 1	1	48.099711341	48.576589953	2769.200	3253.800	G
21	Spectrogram 1	1	91.813584256	92.478324140	2723.100	3230.800	G
29	Spectrogram 1	1	124.602601652	125.108381999	2700.000	3230.800	G
38	Spectrogram 1	1	158.374278008	158.851156621	2723.100	3161.500	G
48	Spectrogram 1	1	197.434971417	198.229769104	2723.100	3115.400	G
53	Spectrogram 1	1	215.715318265	216.336705548	2723.100	3161.500	G
65	Spectrogram 1	1	262.695087134	263.143064013	2700.000	3092.300	G
73	Spectrogram 1	1	295.310694126	296.062139213	2700.000	3207.700	G
83	Spectrogram 1	1	334.963873111	335.729769065	2676.900	3253.800	G
94	Spectrogram 1	1	388.114162211	388.880058165	2653.800	3253.800	G
103	Spectrogram 1	1	429.313584260	430.007225878	2584.600	3184.600	G
114	Spectrogram 1	1	475.989884921	476.741330007	2676.900	3300.000	G
123	Spectrogram 1	1	518.764451450	519.559249138	2607.700	3346.200	G
137	Spectrogram 1	1	583.851156474	584.559248960	2676.900	3184.600	G
91	Spectrogram 1	1	374.096821143	374.906069698	2653.800	3207.700	H
129	Spectrogram 1	1	550.527457286	551.076590234	2653.800	3276.900	H
4	Spectrogram 1	1	16.408959678	16.885838290	2792.300	3184.600	Hv
16	Spectrogram 1	1	68.085260501	68.533237380	4707.700	5146.200	Hv
33	Spectrogram 1	1	139.718208616	140.151734628	4661.500	5053.800	Hv
43	Spectrogram 1	1	177.651734395	178.056358672	4592.300	5123.100	Hv
51	Spectrogram 1	1	209.024566820	209.443641964	4661.500	5146.200	Hv
63	Spectrogram 1	1	255.802023550	256.221098695	4592.300	5146.200	Hv
71	Spectrogram 1	1	286.770231698	287.232659444	4523.100	5215.400	Hv
87	Spectrogram 1	1	352.478324006	352.868497416	4592.300	5076.900	Hv
99	Spectrogram 1	1	411.683526429	412.203757642	4500.000	5192.300	Hv
106	Spectrogram 1	1	441.770231659	442.203757670	4638.500	5169.200	Hv
112	Spectrogram 1	1	467.521676801	467.998555413	4592.300	5192.300	Hv
121	Spectrogram 1	1	508.576590178	509.111272259	4661.500	5261.500	Hv
134	Spectrogram 1	1	572.882948382	573.244220058	4615.400	5215.400	Hv
13	Spectrogram 1	1	55.845376080	56.278902092	4684.600	5192.300	I
27	Spectrogram 1	1	116.047688330	116.437861740	4707.700	5169.200	I
39	Spectrogram 1	1	161.755780898	162.232659511	4569.200	5030.800	I
57	Spectrogram 1	1	231.351156443	231.929191125	4638.500	5146.200	I
68	Spectrogram 1	1	274.645954214	275.209538029	4615.400	5123.100	I
93	Spectrogram 1	1	383.865607298	384.371387645	4592.300	5215.400	I
111	Spectrogram 1	1	463.721098766	464.313584315	4569.200	5146.200	I
127	Spectrogram 1	1	542.160405263	542.695087344	4615.400	5123.100	I
8	Spectrogram 1	1	34.140173831	34.602601576	4961.500	5561.500	J
23	Spectrogram 1	1	99.096821250	99.631503331	5030.800	5469.200	J
46	Spectrogram 1	1	189.371387601	189.833815347	4938.500	5469.200	J
61	Spectrogram 1	1	248.475433927	249.039017742	4938.500	5561.500	J
78	Spectrogram 1	1	314.400289241	314.891618720	5100.000	5653.800	J
89	Spectrogram 1	1	365.541907848	366.091040796	4961.500	5492.300	J
101	Spectrogram 1	1	420.325144926	420.903179608	4915.400	5515.400	J
118	Spectrogram 1	1	493.721098821	494.154624833	4961.500	5723.100	J
136	Spectrogram 1	1	580.238439711	580.773121792	5030.800	5538.500	J
2	Spectrogram 1	1	8.179190751	8.526011561	5100.000	5584.600	K
19	Spectrogram 1	1	85.079480182	85.469653592	5123.100	5630.800	K
36	Spectrogram 1	1	151.336705726	151.770231738	5030.800	5515.400	K
50	Spectrogram 1	1	205.397399190	205.830925201	5076.900	5723.100	K
75	Spectrogram 1	1	302.825144732	303.287572478	4984.600	5607.700	K
81	Spectrogram 1	1	327.521676552	327.955202563	4984.600	5538.500	K
108	Spectrogram 1	1	450.570809721	451.047688334	5053.800	5607.700	K
131	Spectrogram 1	1	559.024567140	559.443642285	5053.800	5653.800	K
140	Spectrogram 1	1	596.683526444	597.131503323	4707.700	5261.500	I
