Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.394736838	0.794736838	1699.487	2499.487
2	Spectrogram 1	1	6.060371454	6.460371454	4509.570	5309.570
3	Spectrogram 1	1	9.241485972	9.641485972	1860.986	2660.986
4	Spectrogram 1	1	12.724458072	13.124458072	1968.652	2768.652
5	Spectrogram 1	1	16.695046266	17.095046266	1484.155	2284.155
6	Spectrogram 1	1	22.035603486	22.435603486	2183.984	2983.984
9	Spectrogram 1	1	33.436532160	33.836532160	1699.487	2499.487
10	Spectrogram 1	1	46.137770418	46.537770418	2614.648	3414.648
12	Spectrogram 1	1	53.614550526	54.014550526	1807.153	2607.153
14	Spectrogram 1	1	66.013931202	66.413931202	2076.318	2876.318
15	Spectrogram 1	1	74.674921824	75.074921824	1484.155	2284.155
16	Spectrogram 1	1	80.433435696	80.833435696	2506.982	3306.982
17	Spectrogram 1	1	86.795664732	87.195664732	1645.654	2445.654
18	Spectrogram 1	1	91.207429392	91.607429392	2183.984	2983.984
19	Spectrogram 1	1	95.085138330	95.485138330	1484.155	2284.155
20	Spectrogram 1	1	99.961299270	100.361299270	4832.568	5632.568
21	Spectrogram 1	1	107.577398262	107.977398262	2076.318	2876.318
22	Spectrogram 1	1	111.919503480	112.319503480	1699.487	2499.487
23	Spectrogram 1	1	116.749224792	117.149224792	4563.403	5363.403
24	Spectrogram 1	1	121.044890382	121.444890382	1537.988	2337.988
25	Spectrogram 1	1	125.944271136	126.344271136	2560.815	3360.815
26	Spectrogram 1	1	129.682661190	130.082661190	1753.320	2553.320
27	Spectrogram 1	1	135.139317480	135.539317480	1645.654	2445.654
28	Spectrogram 1	1	139.597521768	139.997521768	2183.984	2983.984
29	Spectrogram 1	1	146.517026340	146.917026340	1860.986	2660.986
30	Spectrogram 1	1	150.162537138	150.562537138	2076.318	2876.318
31	Spectrogram 1	1	153.993806448	154.393806448	4778.735	5578.735
32	Spectrogram 1	1	157.662537060	158.062537060	1537.988	2337.988
33	Spectrogram 1	1	163.653249072	164.053249072	4563.403	5363.403
34	Spectrogram 1	1	166.996902288	167.396902288	1537.988	2337.988
35	Spectrogram 1	1	171.710524530	172.110524530	2560.815	3360.815
36	Spectrogram 1	1	176.122289190	176.522289190	1645.654	2445.654
37	Spectrogram 1	1	181.137769014	181.537769014	1484.155	2284.155
38	Spectrogram 1	1	184.527861858	184.927861858	2130.151	2930.151
39	Spectrogram 1	1	188.428790610	188.828790610	4455.737	5255.737
41	Spectrogram 1	1	191.609905128	192.009905128	1699.487	2499.487
42	Spectrogram 1	1	194.999997972	195.399997972	2076.318	2876.318
43	Spectrogram 1	1	198.970586166	199.370586166	4886.401	5686.401
44	Spectrogram 1	1	202.314239382	202.714239382	1699.487	2499.487
45	Spectrogram 1	1	207.167180508	207.567180508	1591.821	2391.821
46	Spectrogram 1	1	213.111452892	213.511452892	2183.984	2983.984
47	Spectrogram 1	1	216.919502388	217.319502388	1591.821	2391.821
48	Spectrogram 1	1	221.842102956	222.242102956	4455.737	5255.737
49	Spectrogram 1	1	226.160988360	226.560988360	1807.153	2607.153
50	Spectrogram 1	1	229.969037856	230.369037856	2506.982	3306.982
51	Spectrogram 1	1	233.544889212	233.944889212	1484.155	2284.155
52	Spectrogram 1	1	237.492257592	237.892257592	4509.570	5309.570
53	Spectrogram 1	1	240.998449506	241.398449506	1699.487	2499.487
54	Spectrogram 1	1	244.876158444	245.276158444	1484.155	2284.155
55	Spectrogram 1	1	249.055724964	249.455724964	4832.568	5632.568
56	Spectrogram 1	1	252.515477250	252.915477250	2022.485	2822.485
57	Spectrogram 1	1	256.996901352	257.396901352	1699.487	2499.487
58	Spectrogram 1	1	260.851390476	261.251390476	4509.570	5309.570
59	Spectrogram 1	1	264.752319228	265.152319228	1537.988	2337.988
60	Spectrogram 1	1	269.256963144	269.656963144	2560.815	3360.815
62	Spectrogram 1	1	274.690399620	275.090399620	4940.234	5740.234
63	Spectrogram 1	1	278.196591534	278.596591534	1484.155	2284.155
64	Spectrogram 1	1	281.540244750	281.940244750	2130.151	2930.151
65	Spectrogram 1	1	285.116096106	285.516096106	1484.155	2284.155
66	Spectrogram 1	1	289.620740022	290.020740022	4509.570	5309.570
67	Spectrogram 1	1	292.987613052	293.387613052	1645.654	2445.654
68	Spectrogram 1	1	297.538696596	297.938696596	1430.322	2230.322
69	Spectrogram 1	1	302.623835862	303.023835862	2022.485	2822.485
70	Spectrogram 1	1	306.478324986	306.878324986	4832.568	5632.568
71	Spectrogram 1	1	309.055724340	309.455724340	1914.819	2714.819
72	Spectrogram 1	1	312.910213464	313.310213464	4455.737	5255.737
73	Spectrogram 1	1	316.091327982	316.491327982	1591.821	2391.821
74	Spectrogram 1	1	320.038696362	320.438696362	2506.982	3306.982
75	Spectrogram 1	1	323.359129764	323.759129764	1645.654	2445.654
76	Spectrogram 1	1	329.024764380	329.424764380	1430.322	2230.322
77	Spectrogram 1	1	332.763154434	333.163154434	2183.984	2983.984
78	Spectrogram 1	1	336.339005790	336.739005790	4509.570	5309.570
79	Spectrogram 1	1	341.470584684	341.870584684	1484.155	2284.155
80	Spectrogram 1	1	347.856033534	348.256033534	2076.318	2876.318
81	Spectrogram 1	1	352.685754846	353.085754846	1807.153	2607.153
82	Spectrogram 1	1	359.024764068	359.424764068	4401.904	5201.904
83	Spectrogram 1	1	367.499996178	367.899996178	1591.821	2391.821
84	Spectrogram 1	1	373.630027074	374.030027074	1376.489	2176.489
85	Spectrogram 1	1	378.924144666	379.324144666	2560.815	3360.815
86	Spectrogram 1	1	385.147054818	385.547054818	1591.821	2391.821
87	Spectrogram 1	1	390.139314828	390.539314828	2183.984	2983.984
88	Spectrogram 1	1	394.342101162	394.742101162	1484.155	2284.155
